Cons_ID,Event,Start,End_theoretical
PC-2,Factual summary report,2017-09-12,2017-09-12
PC-2,Synposis report,2017-09-13,2017-09-13
PC-2,Legislative proposal,2017-09-20,2017-09-20
PC-20,Synposis report,2017-09-25,2017-09-25
PC-4,Expert/focus groups,2017-11-06,2017-11-06
PC-16,Conferences,2017-11-07,2017-11-07
PC-24,Synposis report,2017-11-08,2017-11-08
PC-24,Legislative proposal,2017-11-15,2017-11-15
PC-16,Synposis report,2017-12-14,2017-12-14
PC-15,Factual summary report,2017-12-18,2017-12-18
PC-16,Legislative proposal,2017-12-21,2017-12-21
PC-19,Synposis report,2018-01-16,2018-01-16
PC-7,Synposis report,2018-01-19,2018-01-19
PC-9,Synposis report,2018-01-19,2018-01-19
PC-19,Legislative proposal,2018-01-23,2018-01-23
PC-7,Legislative proposal,2018-01-26,2018-01-26
PC-9,Legislative proposal,2018-01-26,2018-01-26
PC-8,Factual summary report,2018-01-31,2018-01-31
PC-8,Synposis report,2018-01-31,2018-01-31
PC-23,Synposis report,2018-02-14,2018-02-14
PC-4,Synposis report,2018-04-12,2018-04-12
PC-4,Legislative proposal,2018-04-19,2018-04-19
PC-3,Synposis report,2018-06-01,2018-06-01
PC-3,Legislative proposal,2018-06-08,2018-06-08
PC-12,Synposis report,2018-06-12,2018-06-12
PC-13,Synposis report,2018-06-12,2018-06-12
PC-14,Factual summary report,2018-06-20,2018-06-20
PC-26,OPC,2018-07-04,2018-07-04
PC-26,Factual summary report,2018-08-30,2018-08-30
PC-26,Synposis report,2018-09-13,2018-09-13
PC-26,Legislative proposal,2018-09-20,2018-09-20
PC-9,Factual summary report,2018-11-02,2018-11-02
PC-13,Roadmap,2016-06-13,2016-06-13
